# ----------------------------------------,,
# 1. GOV.UK (Entire site - Filtered),,
# Sceen resolutions,,
# 20170509-20170607,,
# ----------------------------------------,,
,,
Screen Resolution,Users,Sessions
375x667,"6,199,133","12,113,595"
360x640,"5,783,940","13,249,314"
1366x768,"5,653,107","12,520,919"
1920x1080,"4,255,067","10,498,232"
320x568,"3,505,467","6,614,622"
768x1024,"3,357,543","6,350,005"
1280x1024,"1,938,586","4,442,631"
1440x900,"1,804,774","4,082,038"
1280x800,"1,596,022","3,477,662"
414x736,"1,325,259","2,705,109"
1600x900,"1,205,804","2,865,759"
1536x864,"928,683","2,269,337"
1024x768,"807,093","1,443,931"
1680x1050,"777,752","1,870,002"
1280x720,"565,644","1,294,219"
412x732,"347,802","806,589"
1920x1200,"336,550","732,386"
2560x1440,"331,401","739,314"
320x480,"257,759","466,241"
320x534,"188,900","392,277"
1360x768,"154,330","359,755"
1093x614,"150,063","297,333"
800x1280,"134,314","261,647"
600x1024,"130,284","261,231"
1438x808,"120,045","236,716"
1301x731,"119,616","235,669"
601x962,"117,111","225,984"
320x570,"104,100","221,060"
1093x615,"91,615","205,975"
1518x853,"90,532","179,313"
1024x600,"88,846","177,424"
360x740,"86,416","204,727"
1242x698,"86,132","163,719"
1024x819,"85,067","202,674"
1344x840,"83,355","230,219"
1024x1366,"82,782","162,366"
640x360,"78,789","93,735"
1280x768,"70,282","161,340"
1821x1024,"68,837","135,937"
960x600,"68,033","130,472"
1829x1029,"65,412","160,840"
1188x668,"60,792","113,810"
412x846,"60,281","146,462"
1600x1200,"58,689","118,548"
1607x904,"58,018","111,799"
600x960,"56,951","105,672"
480x800,"56,328","108,076"
2048x1152,"54,865","128,028"
1368x912,"54,500","123,878"
1152x720,"54,246","129,721"
403x671,"53,194","106,953"
962x601,"53,046","100,429"
1745x982,"52,888","125,919"
2021x1137,"50,363","120,829"
720x1280,"49,725","89,482"
1138x640,"48,736","91,860"
1152x864,"47,399","106,357"
357x595,"46,908","99,106"
2133x1200,"44,237","102,508"
1670x939,"43,872","104,553"
1280x960,"42,435","95,948"
1024x820,"37,331","94,451"
534x854,"36,740","66,319"
320x569,"34,232","80,937"
1440x960,"33,838","72,615"
1707x960,"33,600","70,494"
1536x960,"33,392","75,006"
360x592,"32,988","67,067"
1477x831,"29,108","65,306"
1364x768,"28,819","65,080"
1219x975,"28,202","67,513"
1347x1078,"27,176","64,551"
854x534,"26,770","47,995"
1600x1000,"25,814","60,961"
800x600,"25,735","40,360"
1051x591,"25,530","45,843"
1422x800,"24,997","55,495"
2560x1080,"24,146","55,464"
1524x857,"21,703","48,523"
1422x1138,"20,838","48,173"
1024x640,"20,779","42,481"
2259x1271,"19,871","45,430"
1708x960,"19,708","39,274"
1067x600,"19,615","39,583"
1324x745,"18,822","38,377"
1080x1920,"18,761","31,824"
1684x947,"18,629","42,366"
480x853,"18,533","38,322"
1164x931,"18,468","42,712"
1097x617,"18,337","38,021"
1371x771,"18,083","39,719"
1012x569,"16,600","29,453"
1455x818,"15,863","35,003"
338x563,"15,401","31,926"
361x642,"15,210","35,852"
2400x1350,"14,643","33,009"
540x960,"14,580","25,142"
1778x1000,"14,343","31,922"
1365x1024,"14,214","28,323"
911x512,"13,975","25,311"
1707x1365,"13,125","27,342"
1120x700,"13,065","31,930"
1280x752,"12,840","25,852"
1113x890,"12,463","28,314"
1506x1205,"12,181","26,407"
1391x783,"12,152","25,652"
